"input_image","prompt"
"cat_ids/00_短毛橘猫鱼骨纹.png","How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action, realistic studio pet footage. Picture 1 and Picture 2 are identical endpoint anchors. A medium full-body, front-facing portrait begins with the same cat in the exact standard seated pose established by Picture 1: the head is centered, both front paws are planted, the hindquarters are balanced, the tail remains in its original position, both ears are upright, and the gaze faces forward. The camera holds a perfectly Static Shot; framing, focal length, focus, exposure, lighting, stationary background, and floor appearance remain unchanged. Physically caused shadows move coherently with the cat or transient prop and return exactly to the endpoint state. The continuous clean frame contains only the cat and, when specified below, one transient action prop. During 0.00–0.40 seconds the cat holds the endpoint pose. Between 0.40 and 2.60 seconds, the cat remains seated and makes one natural blink while a very small breathing motion passes through the chest. Its paws, hindquarters, head direction, and tail remain planted. From 2.60 seconds onward, the eyes are open and the breathing motion settles back to the endpoint state. During the final 0.70 seconds, all motion progressively settles. The cat returns to the exact pose, expression, gaze, anatomy, coat markings, paw positions, tail placement, silhouette, cast shadow, and full-frame composition established by Picture 2 at the end of the shot. Only the single defined action occurs.

overall_soundscape: Quiet studio room tone with the cat's soft breathing.

non_diegetic_music: N/A
"
"cat_ids/00_短毛橘猫鱼骨纹.png","How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action, realistic studio pet footage. Picture 1 and Picture 2 are identical endpoint anchors. A medium full-body, front-facing portrait begins with the same cat in the exact standard seated pose established by Picture 1: the head is centered, both front paws are planted, the hindquarters are balanced, the tail remains in its original position, both ears are upright, and the gaze faces forward. The camera holds a perfectly Static Shot; framing, focal length, focus, exposure, lighting, stationary background, and floor appearance remain unchanged. Physically caused shadows move coherently with the cat or transient prop and return exactly to the endpoint state. The continuous clean frame contains only the cat and, when specified below, one transient action prop. During 0.00–0.40 seconds the cat holds the endpoint pose. From 0.40 seconds, the cat's anatomical left ear, located on the viewer's right, flexes gently outward a short distance as if under a light invisible tug, while the head, body, paws, opposite ear, and tail remain still. Near 1.70 seconds the ear reaches one clear flexible peak. It is released and smoothly returns to its original upright shape by 3.40 seconds. The clean frame continues to contain the cat alone. During the final 0.70 seconds, all motion progressively settles. The cat returns to the exact pose, expression, gaze, anatomy, coat markings, paw positions, tail placement, silhouette, cast shadow, and full-frame composition established by Picture 2 at the end of the shot. Only the single defined action occurs.

overall_soundscape: Quiet room tone with a faint rustle of fur as the ear flexes and settles.

non_diegetic_music: N/A
"
"cat_ids/00_短毛橘猫鱼骨纹.png","How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action, realistic studio pet footage. Picture 1 and Picture 2 are identical endpoint anchors. A medium full-body, front-facing portrait begins with the same cat in the exact standard seated pose established by Picture 1: the head is centered, both front paws are planted, the hindquarters are balanced, the tail remains in its original position, both ears are upright, and the gaze faces forward. The camera holds a perfectly Static Shot; framing, focal length, focus, exposure, lighting, stationary background, and floor appearance remain unchanged. Physically caused shadows move coherently with the cat or transient prop and return exactly to the endpoint state. The continuous clean frame contains only the cat and, when specified below, one transient action prop. During 0.00–0.40 seconds the cat holds the endpoint pose. From 0.40 seconds, the cat's anatomical right ear, located on the viewer's left, flexes gently outward a short distance as if under a light invisible tug, while the head, body, paws, opposite ear, and tail remain still. Near 1.70 seconds the ear reaches one clear flexible peak. It is released and smoothly returns to its original upright shape by 3.40 seconds. The clean frame continues to contain the cat alone. During the final 0.70 seconds, all motion progressively settles. The cat returns to the exact pose, expression, gaze, anatomy, coat markings, paw positions, tail placement, silhouette, cast shadow, and full-frame composition established by Picture 2 at the end of the shot. Only the single defined action occurs.

overall_soundscape: Quiet room tone with a faint rustle of fur as the ear flexes and settles.

non_diegetic_music: N/A
"
"cat_ids/00_短毛橘猫鱼骨纹.png","How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action, realistic studio pet footage. Picture 1 and Picture 2 are identical endpoint anchors. A medium full-body, front-facing portrait begins with the same cat in the exact standard seated pose established by Picture 1: the head is centered, both front paws are planted, the hindquarters are balanced, the tail remains in its original position, both ears are upright, and the gaze faces forward. The camera holds a perfectly Static Shot; framing, focal length, focus, exposure, lighting, stationary background, and floor appearance remain unchanged. Physically caused shadows move coherently with the cat or transient prop and return exactly to the endpoint state. The continuous clean frame contains only the cat and, when specified below, one transient action prop. During 0.00–0.40 seconds the cat holds the endpoint pose. At 0.40 seconds, a small plain wool ball rolls into view from the viewer's left and travels toward the viewer's right along the floor. The cat fixes its gaze on the ball, tracks it with one small head movement, then makes one compact forward reach and briefly pins the ball under a front paw near 1.90 seconds. As the cat withdraws the paw, it gives the ball one small nudge in the same rightward direction; the ball continues rolling and exits fully at the viewer's right edge by 3.30 seconds while the head and gaze recenter. During the final 0.70 seconds, all motion progressively settles. The cat returns to the exact pose, expression, gaze, anatomy, coat markings, paw positions, tail placement, silhouette, cast shadow, and full-frame composition established by Picture 2 at the end of the shot. Only the single defined action occurs.

overall_soundscape: A soft wool ball rolls over the floor, followed by one light paw tap and quiet studio room tone.

non_diegetic_music: N/A
"
"cat_ids/00_短毛橘猫鱼骨纹.png","How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action, realistic studio pet footage. Picture 1 and Picture 2 are identical endpoint anchors. A medium full-body, front-facing portrait begins with the same cat in the exact standard seated pose established by Picture 1: the head is centered, both front paws are planted, the hindquarters are balanced, the tail remains in its original position, both ears are upright, and the gaze faces forward. The camera holds a perfectly Static Shot; framing, focal length, focus, exposure, lighting, stationary background, and floor appearance remain unchanged. Physically caused shadows move coherently with the cat or transient prop and return exactly to the endpoint state. The continuous clean frame contains only the cat and, when specified below, one transient action prop. During 0.00–0.40 seconds the cat holds the endpoint pose. At 0.40 seconds, a small plain wool ball rolls into view from the viewer's right and travels toward the viewer's left along the floor. The cat fixes its gaze on the ball, tracks it with one small head movement, then makes one compact forward reach and briefly pins the ball under a front paw near 1.90 seconds. As the cat withdraws the paw, it gives the ball one small nudge in the same leftward direction; the ball continues rolling and exits fully at the viewer's left edge by 3.30 seconds while the head and gaze recenter. During the final 0.70 seconds, all motion progressively settles. The cat returns to the exact pose, expression, gaze, anatomy, coat markings, paw positions, tail placement, silhouette, cast shadow, and full-frame composition established by Picture 2 at the end of the shot. Only the single defined action occurs.

overall_soundscape: A soft wool ball rolls over the floor, followed by one light paw tap and quiet studio room tone.

non_diegetic_music: N/A
"
"cat_ids/00_短毛橘猫鱼骨纹.png","How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action, realistic studio pet footage. Picture 1 and Picture 2 are identical endpoint anchors. A medium full-body, front-facing portrait begins with the same cat in the exact standard seated pose established by Picture 1: the head is centered, both front paws are planted, the hindquarters are balanced, the tail remains in its original position, both ears are upright, and the gaze faces forward. The camera holds a perfectly Static Shot; framing, focal length, focus, exposure, lighting, stationary background, and floor appearance remain unchanged. Physically caused shadows move coherently with the cat or transient prop and return exactly to the endpoint state. The continuous clean frame contains only the cat and, when specified below, one transient action prop. During 0.00–0.40 seconds the cat holds the endpoint pose. From 0.40 seconds, the cat shifts its weight toward its anatomical left side, which is the viewer's right, lowers that shoulder, and performs one compact partial roll onto its left side while extending the nearer front paw once. Near 1.90 seconds the body reaches one coherent, fully visible motion peak. The paw retracts, the cat reverses the partial roll, plants both front paws, and smoothly pushes back up by 3.50 seconds. During the final 0.70 seconds, all motion progressively settles. The cat returns to the exact pose, expression, gaze, anatomy, coat markings, paw positions, tail placement, silhouette, cast shadow, and full-frame composition established by Picture 2 at the end of the shot. Only the single defined action occurs.

overall_soundscape: Soft paw contact and a brief rustle of fur against the floor over quiet room tone.

non_diegetic_music: N/A
"
"cat_ids/00_短毛橘猫鱼骨纹.png","How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action, realistic studio pet footage. Picture 1 and Picture 2 are identical endpoint anchors. A medium full-body, front-facing portrait begins with the same cat in the exact standard seated pose established by Picture 1: the head is centered, both front paws are planted, the hindquarters are balanced, the tail remains in its original position, both ears are upright, and the gaze faces forward. The camera holds a perfectly Static Shot; framing, focal length, focus, exposure, lighting, stationary background, and floor appearance remain unchanged. Physically caused shadows move coherently with the cat or transient prop and return exactly to the endpoint state. The continuous clean frame contains only the cat and, when specified below, one transient action prop. During 0.00–0.40 seconds the cat holds the endpoint pose. From 0.40 seconds, the cat shifts its weight toward its anatomical right side, which is the viewer's left, lowers that shoulder, and performs one compact partial roll onto its right side while extending the nearer front paw once. Near 1.90 seconds the body reaches one coherent, fully visible motion peak. The paw retracts, the cat reverses the partial roll, plants both front paws, and smoothly pushes back up by 3.50 seconds. During the final 0.70 seconds, all motion progressively settles. The cat returns to the exact pose, expression, gaze, anatomy, coat markings, paw positions, tail placement, silhouette, cast shadow, and full-frame composition established by Picture 2 at the end of the shot. Only the single defined action occurs.

overall_soundscape: Soft paw contact and a brief rustle of fur against the floor over quiet room tone.

non_diegetic_music: N/A
"
"cat_ids/00_短毛橘猫鱼骨纹.png","How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action, realistic studio pet footage. Picture 1 and Picture 2 are identical endpoint anchors. A medium full-body, front-facing portrait begins with the same cat in the exact standard seated pose established by Picture 1: the head is centered, both front paws are planted, the hindquarters are balanced, the tail remains in its original position, both ears are upright, and the gaze faces forward. The camera holds a perfectly Static Shot; framing, focal length, focus, exposure, lighting, stationary background, and floor appearance remain unchanged. Physically caused shadows move coherently with the cat or transient prop and return exactly to the endpoint state. The continuous clean frame contains only the cat and, when specified below, one transient action prop. During 0.00–0.40 seconds the cat holds the endpoint pose. From 0.55 seconds, the cat raises its anatomical left front paw, located on the viewer's right, brings it naturally toward the mouth, and gives the paw two small deliberate licks around the middle of the shot. It lowers the paw along the same compact path and plants it back in its original position by 3.35 seconds. During the final 0.70 seconds, all motion progressively settles. The cat returns to the exact pose, expression, gaze, anatomy, coat markings, paw positions, tail placement, silhouette, cast shadow, and full-frame composition established by Picture 2 at the end of the shot. Only the single defined action occurs.

overall_soundscape: Two quiet licking sounds and a faint movement of fur over low studio room tone.

non_diegetic_music: N/A
"
"cat_ids/00_短毛橘猫鱼骨纹.png","How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action, realistic studio pet footage. Picture 1 and Picture 2 are identical endpoint anchors. A medium full-body, front-facing portrait begins with the same cat in the exact standard seated pose established by Picture 1: the head is centered, both front paws are planted, the hindquarters are balanced, the tail remains in its original position, both ears are upright, and the gaze faces forward. The camera holds a perfectly Static Shot; framing, focal length, focus, exposure, lighting, stationary background, and floor appearance remain unchanged. Physically caused shadows move coherently with the cat or transient prop and return exactly to the endpoint state. The continuous clean frame contains only the cat and, when specified below, one transient action prop. During 0.00–0.40 seconds the cat holds the endpoint pose. From 0.55 seconds, the cat raises its anatomical right front paw, located on the viewer's left, brings it naturally toward the mouth, and gives the paw two small deliberate licks around the middle of the shot. It lowers the paw along the same compact path and plants it back in its original position by 3.35 seconds. During the final 0.70 seconds, all motion progressively settles. The cat returns to the exact pose, expression, gaze, anatomy, coat markings, paw positions, tail placement, silhouette, cast shadow, and full-frame composition established by Picture 2 at the end of the shot. Only the single defined action occurs.

overall_soundscape: Two quiet licking sounds and a faint movement of fur over low studio room tone.

non_diegetic_music: N/A
"
"cat_ids/00_短毛橘猫鱼骨纹.png","How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action, realistic studio pet footage. Picture 1 and Picture 2 are identical endpoint anchors. A medium full-body, front-facing portrait begins with the same cat in the exact standard seated pose established by Picture 1: the head is centered, both front paws are planted, the hindquarters are balanced, the tail remains in its original position, both ears are upright, and the gaze faces forward. The camera holds a perfectly Static Shot; framing, focal length, focus, exposure, lighting, stationary background, and floor appearance remain unchanged. Physically caused shadows move coherently with the cat or transient prop and return exactly to the endpoint state. The continuous clean frame contains only the cat and, when specified below, one transient action prop. During 0.00–0.40 seconds the cat holds the endpoint pose. At 0.40 seconds, a small plain shallow food dish slides into view from the lower edge and stops directly in front of the cat. The cat lowers its head, takes two small bites near the middle of the shot, and raises its head again. The dish slides back out completely along the same path by 3.20 seconds while the cat recenters its head and chest. During the final 0.70 seconds, all motion progressively settles. The cat returns to the exact pose, expression, gaze, anatomy, coat markings, paw positions, tail placement, silhouette, cast shadow, and full-frame composition established by Picture 2 at the end of the shot. Only the single defined action occurs.

overall_soundscape: A light dish slide is followed by two soft eating sounds, then the dish slides away over quiet room tone.

non_diegetic_music: N/A
"
